Forecast #,Forecast Issue Date,1week,2week
1,8/30/21,,
2,9/6/21,,
3,9/13/21,,
4,9/20/21,,
5,9/27/21,,
6,10/4/21,,
7,10/11/21,,
8,10/18/21,,
9,10/25/21,,
10,11/1/21,,
11,11/8/21,,
12,11/15/21,,
13,11/22/21,,
14,11/29/21,,
